class,opcode_hex,opcode_dec,direction
FC2L_ask_kickout_unityalliance_Message,0x2a0b,10763,FC2L
FC2L_ask_lock_roster_unityalliance_Message,0x2a13,10771,FC2L
FC2L_ask_lock_trade_list_Message,0x2513,9491,FC2L
FC2L_ask_login_Message,,,FC2L
FC2L_ask_logout_Message,,,FC2L
FC2L_ask_map_content_enter_cool_time_Message,,,FC2L
FC2L_ask_map_content_user_count_Message,,,FC2L
FC2L_ask_match_party_Message,0x1123,4387,FC2L
FC2L_ask_max_cleared_dungeon_grade_Message,,,FC2L
FC2L_ask_minewar_history_Message,0x1b0c,6924,FC2L
FC2L_ask_minewar_mercenary_accept_Message,0x1b20,6944,FC2L
FC2L_ask_minewar_mercenary_accept_cancel_Message,0x1b22,6946,FC2L
FC2L_ask_minewar_mercenary_config_bounty_Message,0x1b13,6931,FC2L
FC2L_ask_minewar_mercenary_config_level_Message,0x1b10,6928,FC2L
FC2L_ask_minewar_mercenary_info_Message,0x1b1a,6938,FC2L
FC2L_ask_minewar_mercenary_reject_Message,0x1b24,6948,FC2L
FC2L_ask_minewar_mercenary_reject_all_Message,0x1b26,6950,FC2L
FC2L_ask_minewar_mercenary_request_Message,0x1b1c,6940,FC2L
FC2L_ask_minewar_mercenary_request_cancel_Message,0x1b1e,6942,FC2L
FC2L_ask_minewar_mercenary_start_recruit_Message,0x1b17,6935,FC2L
FC2L_ask_minewar_result_Message,0x1b0a,6922,FC2L
FC2L_ask_minewar_running_info_Message,0x1b08,6920,FC2L
FC2L_ask_minewar_skirmish_join_Message,0x1b04,6916,FC2L
FC2L_ask_minewar_skirmish_lobby_Message,0x1b02,6914,FC2L
FC2L_ask_minewar_skirmish_result_Message,0x1b06,6918,FC2L
FC2L_ask_minewar_special_reward_info_Message,0x1b2c,6956,FC2L
FC2L_ask_minewar_winning_guild_Message,0x1b0e,6926,FC2L
FC2L_ask_mission_accept_Message,0x0b10,2832,FC2L
FC2L_ask_mission_cancel_Message,0x0b12,2834,FC2L
FC2L_ask_mission_reward_recieve_Message,0x0b14,2836,FC2L
FC2L_ask_multi_enchant_equip_result_Message,0x0543,1347,FC2L
FC2L_ask_npc_shop_buy_batch_item_Message,,,FC2L
FC2L_ask_npc_shop_buy_item_Message,,,FC2L
FC2L_ask_npc_shop_product_user_data_list_Message,,,FC2L
FC2L_ask_npc_shop_register_items_Message,,,FC2L
FC2L_ask_npc_shop_registeration_item_list_Message,,,FC2L
FC2L_ask_option_equip_lock_Message,0x0511,1297,FC2L
FC2L_ask_other_user_info_Message,,,FC2L
FC2L_ask_other_user_rank_Message,,,FC2L
FC2L_ask_paint_costume_Message,0x2b05,11013,FC2L
FC2L_ask_paint_ug_Message,0x1510,5392,FC2L
FC2L_ask_party_chat_Message,,,FC2L
FC2L_ask_party_dungeon_2_season_record_info_Message,0x035b,859,FC2L
FC2L_ask_party_dungeon_penalty_info_Message,0x0356,854,FC2L
FC2L_ask_party_member_map_position_Message,0x1134,4404,FC2L
FC2L_ask_paypass_levelup_Message,0x1e24,7716,FC2L
FC2L_ask_paypass_reward_Message,0x1e22,7714,FC2L
FC2L_ask_ping_Message,,,FC2L
FC2L_ask_pk_chase_info_Message,,,FC2L
FC2L_ask_pk_history_Message,,,FC2L
FC2L_ask_pk_mockery_msg_Message,,,FC2L
FC2L_ask_pk_rank_info_Message,,,FC2L
FC2L_ask_pk_rank_list_Message,,,FC2L
FC2L_ask_probability_draw_Message,0x0526,1318,FC2L
FC2L_ask_probability_draw_prime_Message,0x054b,1355,FC2L
FC2L_ask_probability_redraw_Message,0x0524,1316,FC2L
FC2L_ask_progress_mission_info_Message,0x0b17,2839,FC2L
FC2L_ask_purchase_fortress_skill_Message,0x300e,12302,FC2L
FC2L_ask_purchased_fortress_skill_list_Message,0x300c,12300,FC2L
FC2L_ask_put_in_warehouse_Message,0x1f01,7937,FC2L
FC2L_ask_put_ultimate_gear_in_hangar_Message,0x1502,5378,FC2L
FC2L_ask_quest_action_Message,0x0a08,2568,FC2L
FC2L_ask_quest_reward_Message,0x0a04,2564,FC2L
FC2L_ask_quest_skip_Message,0x0a0e,2574,FC2L
FC2L_ask_quest_update_Message,0x0a13,2579,FC2L
FC2L_ask_quick_chat_list_Message,0x0e0e,3598,FC2L
FC2L_ask_read_mail_Message,0x0c1a,3098,FC2L
FC2L_ask_realm_contribution_season_reward_Message,0x2404,9220,FC2L
FC2L_ask_realm_id_card_kit_change_bonus_line_Message,0x241b,9243,FC2L
FC2L_ask_realm_id_card_kit_load_Message,0x2413,9235,FC2L
FC2L_ask_realm_id_card_kit_modify_Message,0x2417,9239,FC2L
FC2L_ask_realm_id_card_kit_reset_Message,0x2415,9237,FC2L
FC2L_ask_realm_id_card_kit_save_Message,0x2411,9233,FC2L
FC2L_ask_realm_id_card_kit_view_save_data_Message,0x2419,9241,FC2L
FC2L_ask_realm_id_card_rank_list_Message,0x240a,9226,FC2L
FC2L_ask_realm_id_card_rank_schedule_Message,0x2408,9224,FC2L
FC2L_ask_realm_id_card_user_rank_Message,0x240c,9228,FC2L
FC2L_ask_realm_idcard_change_Message,0x2401,9217,FC2L
FC2L_ask_rebuy_item_Message,,,FC2L
FC2L_ask_receive_guild_gift_Message,0x0d91,3473,FC2L
FC2L_ask_receive_mail_Message,0x0c0d,3085,FC2L
FC2L_ask_receive_personal_mail_Message,,,FC2L
FC2L_ask_receive_regist_amity_guild_list_Message,0x0d46,3398,FC2L
FC2L_ask_receive_support_guild_list_Message,0x3005,12293,FC2L
FC2L_ask_recommend_guild_list_Message,,,FC2L
FC2L_ask_recovery_exp_Message,,,FC2L
FC2L_ask_recovery_exp_info_list_Message,,,FC2L
FC2L_ask_refresh_mission_list_in_have_Message,0x0b0e,2830,FC2L
FC2L_ask_regist_amity_guild_Message,0x0d40,3392,FC2L
FC2L_ask_regist_amity_guild_list_Message,0x0d44,3396,FC2L
FC2L_ask_regist_enemy_guild_Message,0x0d3a,3386,FC2L
FC2L_ask_regist_trade_currency_Message,0x250c,9484,FC2L
FC2L_ask_regist_trade_item_Message,0x250a,9482,FC2L
FC2L_ask_register_block_mail_user_Message,,,FC2L
FC2L_ask_register_item_collection_Message,,,FC2L
FC2L_ask_release_amity_guild_Message,0x0d4a,3402,FC2L
FC2L_ask_release_enemy_guild_Message,0x0d3c,3388,FC2L
FC2L_ask_remove_black_list_Message,0x1013,4115,FC2L
FC2L_ask_remove_block_mail_user_Message,,,FC2L
FC2L_ask_remove_friend_Message,0x100d,4109,FC2L
FC2L_ask_remove_pending_response_Message,0x1009,4105,FC2L
FC2L_ask_remove_trade_item_Message,0x250e,9486,FC2L
FC2L_ask_repair_broken_equip_Message,0x0517,1303,FC2L
FC2L_ask_report_player_for_unjust_pk_Message,0x0353,851,FC2L
FC2L_ask_request_achievement_complete_reward_Message,,,FC2L
FC2L_ask_request_cutscene_play_Message,0x0a0c,2572,FC2L
FC2L_ask_request_guild_invitation_list_Message,0x0d1e,3358,FC2L
FC2L_ask_request_info_end_Message,0x0343,835,FC2L
FC2L_ask_request_join_guild_Message,,,FC2L
FC2L_ask_request_join_guild_list_Message,,,FC2L
FC2L_ask_request_join_users_Message,0x0d30,3376,FC2L
FC2L_ask_request_location_info_Message,,,FC2L
FC2L_ask_request_my_guild_invitation_list_Message,0x0d22,3362,FC2L
FC2L_ask_request_quest_Message,0x0a06,2566,FC2L
FC2L_ask_request_support_guild_Message,0x301a,12314,FC2L
FC2L_ask_request_support_guild_list_Message,0x3003,12291,FC2L
FC2L_ask_request_warp_Message,0x0a11,2577,FC2L
FC2L_ask_reserve_pk_chase_Message,,,FC2L
FC2L_ask_reset_biosuit_enchant_Message,0x2f05,12037,FC2L
FC2L_ask_respond_challenge_mode_squad_register_Message,0x0360,864,FC2L
FC2L_ask_respond_to_friend_request_Message,,,FC2L
FC2L_ask_revive_info_Message,,,FC2L
FC2L_ask_revive_player_Message,,,FC2L
FC2L_ask_reward_fake_mail_event_Message,0x1e58,7768,FC2L
FC2L_ask_reward_once_mail_event_Message,0x1e3b,7739,FC2L
FC2L_ask_reward_time_mail_event_Message,0x1e37,7735,FC2L
FC2L_ask_rover_costume_parts_item_set_lock_Message,0x3109,12553,FC2L
FC2L_ask_runtime_change_item_craft_table_info_Message,0x055d,1373,FC2L
FC2L_ask_runtime_change_reward_table_info_Message,,,FC2L
FC2L_ask_save_position_data_Message,0x034d,845,FC2L
FC2L_ask_save_ug_skill_auto_bit_flag_Message,0x150e,5390,FC2L
FC2L_ask_search_friend_Message,0x100b,4107,FC2L
FC2L_ask_search_guild_name_Message,,,FC2L
FC2L_ask_search_party_Message,0x1110,4368,FC2L
FC2L_ask_search_recommendation_user_Message,0x111b,4379,FC2L
FC2L_ask_search_user_Message,0x112e,4398,FC2L
FC2L_ask_search_user_by_name_Message,0x0d36,3382,FC2L
FC2L_ask_select_defence_support_guild_Message,0x3001,12289,FC2L
FC2L_ask_sell_item_batch_Message,,,FC2L
FC2L_ask_send_friend_request_Message,,,FC2L
FC2L_ask_send_guild_member_mail_Message,,,FC2L
FC2L_ask_send_personal_mail_Message,,,FC2L
FC2L_ask_send_reserved_system_msg_Message,0x0e0b,3595,FC2L
FC2L_ask_server_notice_Message,0x1c01,7169,FC2L
FC2L_ask_set_channel_chat_representative_room_id_Message,0x0f1d,3869,FC2L
FC2L_ask_set_distribute_type_unityalliance_Message,0x2a17,10775,FC2L
FC2L_ask_set_exploration_schedule_info_Message,,,FC2L
FC2L_ask_set_fortress_bounty_value_Message,0x3007,12295,FC2L
FC2L_ask_set_game_option_info_Message,0x033d,829,FC2L
FC2L_ask_set_keymapping_data_Message,0x0350,848,FC2L
FC2L_ask_set_lock_Message,,,FC2L
FC2L_ask_set_macro_score_Message,0x036f,879,FC2L
FC2L_ask_set_menu_bookmark_info_Message,0x0340,832,FC2L
FC2L_ask_set_ping_mode_Message,,,FC2L
FC2L_ask_set_preset_data_Message,,,FC2L
FC2L_ask_set_quickslot_data_Message,,,FC2L
FC2L_ask_set_red_notify_Message,,,FC2L
FC2L_ask_set_warehouse_batch_option_Message,0x1f0c,7948,FC2L
FC2L_ask_set_warehouse_batch_put_in_option_Message,0x1f09,7945,FC2L
FC2L_ask_single_enchant_equip_result_Message,0x0541,1345,FC2L
FC2L_ask_start_exploration_schedule_Message,0x2701,9985,FC2L
FC2L_ask_start_offline_Message,,,FC2L
FC2L_ask_stop_exploration_schedule_Message,0x2703,9987,FC2L
FC2L_ask_summon_ultimate_gear_Message,0x1504,5380,FC2L
FC2L_ask_sweep_daily_mission_Message,0x0b19,2841,FC2L
FC2L_ask_sweep_scion_training_Message,0x2801,10241,FC2L
FC2L_ask_tactical_lab_battle_core_craft_Message,0x220d,8717,FC2L
FC2L_ask_tactical_lab_battle_module_change_option_Message,0x2213,8723,FC2L
FC2L_ask_tactical_lab_battle_module_enchant_Message,0x2211,8721,FC2L
FC2L_ask_tactical_lab_battle_module_enchant_prob_Message,0x2219,8729,FC2L
FC2L_ask_tactical_lab_battle_module_preset_change_Message,0x221c,8732,FC2L
FC2L_ask_tactical_lab_battle_module_preset_import_Message,0x2220,8736,FC2L
FC2L_ask_tactical_lab_battle_module_preset_name_Message,0x221e,8734,FC2L
FC2L_ask_tactical_lab_battle_module_reset_Message,0x2215,8725,FC2L
FC2L_ask_tactical_lab_battle_record_gain_reward_Message,0x2203,8707,FC2L
FC2L_ask_tactical_lab_battle_record_levelup_Message,0x2205,8709,FC2L
FC2L_ask_tactical_lab_battle_simulation_activate_complete_Message,0x2208,8712,FC2L
FC2L_ask_tactical_lab_battle_simulation_map_content_request_Message,0x220a,8714,FC2L
FC2L_ask_take_out_warehouse_Message,0x1f03,7939,FC2L
FC2L_ask_talic_item_set_lock_Message,,,FC2L
FC2L_ask_tax_bank_info_Message,0x1d1c,7452,FC2L
FC2L_ask_tax_rate_info_Message,0x1d1e,7454,FC2L
FC2L_ask_teleport_Message,,,FC2L
FC2L_ask_timedungeon_match_info_Message,0x0359,857,FC2L
FC2L_ask_trade_cancel_Message,0x2511,9489,FC2L
FC2L_ask_trade_request_Message,0x2501,9473,FC2L
FC2L_ask_trade_request_cancel_Message,0x2505,9477,FC2L
FC2L_ask_transfer_check_Message,,,FC2L
FC2L_ask_transferitem_check_Message,,,FC2L
FC2L_ask_transform_weapon_Message,0x0530,1328,FC2L
FC2L_ask_transform_weapon_costume_Message,0x3207,12807,FC2L
FC2L_ask_tutorial_complete_Message,0x0339,825,FC2L
FC2L_ask_ua_applicant_list_Message,0x2a1c,10780,FC2L
FC2L_ask_ua_applicant_response_Message,0x2a1e,10782,FC2L
FC2L_ask_ua_invitation_list_Message,0x2a1a,10778,FC2L
FC2L_ask_ua_member_map_position_Message,0x2a20,10784,FC2L
FC2L_ask_ua_member_set_ready_Message,0x2a22,10786,FC2L
FC2L_ask_ug_stat_Message,0x1509,5385,FC2L
FC2L_ask_unityalliance_list_Message,0x2a11,10769,FC2L
FC2L_ask_unlock_guild_emblem_Message,0x0d5f,3423,FC2L
FC2L_ask_unlock_guild_emblem_list_Message,0x0d5d,3421,FC2L
FC2L_ask_unlock_trade_list_Message,0x2516,9494,FC2L
FC2L_ask_update_bookmark_Message,0x1d19,7449,FC2L
FC2L_ask_update_craft_item_bookmark_Message,0x052a,1322,FC2L
FC2L_ask_update_fraud_Message,0x0211,529,FC2L
FC2L_ask_update_guild_emblem_Message,0x0d24,3364,FC2L
FC2L_ask_update_guild_fortress_occupy_member_Message,0x0da8,3496,FC2L
FC2L_ask_update_guild_info_Message,0x0d28,3368,FC2L
FC2L_ask_update_guild_minewar_occupy_member_Message,0x0d96,3478,FC2L
FC2L_ask_update_guild_notice_or_pr_Message,0x0d26,3366,FC2L
FC2L_ask_update_guild_open_chat_info_Message,0x0d94,3476,FC2L
FC2L_ask_update_item_collection_bookmark_Message,,,FC2L
FC2L_ask_update_member_open_combat_power_Message,0x0d9c,3484,FC2L
FC2L_ask_update_member_profile_msg_Message,0x0d38,3384,FC2L
FC2L_ask_update_party_option_Message,0x1129,4393,FC2L
FC2L_ask_update_personal_mail_Message,,,FC2L
FC2L_ask_update_quick_chat_Message,0x0e10,3600,FC2L
FC2L_ask_update_rover_costume_parts_Message,0x3106,12550,FC2L
FC2L_ask_update_skill_use_order_Message,0x0709,1801,FC2L
FC2L_ask_update_unityalliance_info_Message,0x2a03,10755,FC2L
FC2L_ask_update_watch_list_Message,,,FC2L
FC2L_ask_upgrade_realm_id_card_Message,0x240e,9230,FC2L
FC2L_ask_use_boss_spawn_item_Message,,,FC2L
FC2L_ask_use_item_Message,,,FC2L
FC2L_ask_verify_register_device_Message,0x0215,533,FC2L
FC2L_ask_view_reward_list_Message,,,FC2L
FC2L_ask_wait_enter_map_Message,,,FC2L
FC2L_ask_wargame_base_info_Message,,,FC2L
FC2L_ask_wargame_candidate_Message,0x170d,5901,FC2L
FC2L_ask_wargame_matching_history_Message,,,FC2L
FC2L_ask_wargame_matching_info_Message,,,FC2L
FC2L_ask_wargame_season_reward_Message,,,FC2L
FC2L_ask_wargame_season_reward_info_Message,,,FC2L
FC2L_ask_whisper_chat_Message,0x0e0c,3596,FC2L
FC2L_ask_whisper_report_Message,0x0e14,3604,FC2L
FC2L_ask_withdraw_from_guild_Message,,,FC2L
FC2L_ask_withdraw_party_Message,,,FC2L
FC2L_ask_world_chat_Message,0x0e01,3585,FC2L
FC2L_ask_world_group_chat_Message,0x0e18,3608,FC2L
FC2L_ask_world_group_chat_block_Message,0x0e1d,3613,FC2L
FC2L_ask_world_group_chat_report_Message,0x0e1a,3610,FC2L
FC2L_ask_world_info_transfer_Message,0x021b,539,FC2L
FC2L_nmssw_verify_check_Message,0x021a,538,FC2L
FC2L_request_detailed_list_of_purchase_on_exchange_Message,0x1d03,7427,FC2L
FC2L_request_exchange_to_cancel_sale_item_Message,0x1d0e,7438,FC2L
FC2L_request_exchange_to_register_sale_item_Message,0x1d0c,7436,FC2L
FC2L_request_exchange_to_reregister_sale_item_Message,0x1d10,7440,FC2L
FC2L_request_info_Message,,,FC2L
FC2L_request_purchase_list_on_exchange_Message,0x1d01,7425,FC2L
FC2L_request_settlement_of_exchange_Message,0x1d14,7444,FC2L
FC2L_request_to_purchase_item_on_exchange_Message,0x1d12,7442,FC2L
FC2L_reserve_mapcontent_realm_Message,,,FC2L
FC2L_respond_party_invitation_Message,0x1120,4384,FC2L
FC2L_respond_to_join_party_Message,0x1114,4372,FC2L
FC2L_response_trade_request_Message,0x2504,9476,FC2L
FG2C_activate_unit_Message,0x0319,793,FG2C
FG2C_activating_unit_Message,0x031a,794,FG2C
FG2C_add_extra_skill_Message,0x0611,1553,FG2C
FG2C_ans_appear_viewpoint_monster_list_Message,0x041d,1053,FG2C
FG2C_ans_babylon_occupation_warp_Message,0x1908,6408,FG2C
FG2C_ans_base_return_Message,0x0d11,3345,FG2C
FG2C_ans_base_return_battle_for_paradise_Message,0x110e,4366,FG2C
FG2C_ans_base_return_steel_battle_field_Message,0x1a04,6660,FG2C
FG2C_ans_begin_hyperline_Message,0x0418,1048,FG2C
FG2C_ans_begin_interaction_Message,0x0411,1041,FG2C
FG2C_ans_begin_use_normal_skill_Message,0x060a,1546,FG2C
FG2C_ans_board_unit_Message,0x0e03,3587,FG2C
FG2C_ans_boss_position_Message,0x031f,799,FG2C
FG2C_ans_cancel_skill_Message,0x0604,1540,FG2C
FG2C_ans_change_target_position_Message,0x0619,1561,FG2C
FG2C_ans_chat_report_Message,0x080e,2062,FG2C
FG2C_ans_cheat_list_Message,0x0502,1282,FG2C
FG2C_ans_coreworld_join_room_Message,0x1401,5121,FG2C
FG2C_ans_coreworld_team_point_detail_Message,0x1404,5124,FG2C
FG2C_ans_create_party_Message,0x0903,2307,FG2C
FG2C_ans_customizing_list_Message,0x0405,1029,FG2C
FG2C_ans_cutscene_skip_Message,0x0a03,2563,FG2C
FG2C_ans_delegate_party_leader_Message,0x0905,2309,FG2C
FG2C_ans_detail_map_info_Message,0x0d15,3349,FG2C
FG2C_ans_end_hyperline_Message,0x041a,1050,FG2C
FG2C_ans_end_interaction_Message,0x0413,1043,FG2C
FG2C_ans_end_use_normal_skill_Message,0x060c,1548,FG2C
FG2C_ans_exitroom_Message,0x0204,516,FG2C
FG2C_ans_fortress_first_destroyed_npc_infos_Message,0x180d,6157,FG2C
FG2C_ans_fortress_return_to_base_Message,0x180f,6159,FG2C
FG2C_ans_fortress_skill_list_Message,0x1808,6152,FG2C
FG2C_ans_fortress_warp_Message,0x1806,6150,FG2C
FG2C_ans_frontier_occupation_pve_join_room_Message,0x170a,5898,FG2C
FG2C_ans_frontier_occupation_pvp_contribution_rank_Message,0x1705,5893,FG2C
FG2C_ans_frontier_occupation_pvp_join_room_Message,0x1701,5889,FG2C
FG2C_ans_grid_debug_info_Message,0x0f07,3847,FG2C
FG2C_ans_guild_killpoint_Message,0x1003,4099,FG2C
FG2C_ans_guild_member_contribution_info_battle_for_paradise_Message,0x110b,4363,FG2C
FG2C_ans_interact_portal_obj_Message,0x0415,1045,FG2C
FG2C_ans_invite_to_party_Message,0x0911,2321,FG2C
FG2C_ans_item_spawn_monster_info_Message,0x032d,813,FG2C
FG2C_ans_join_party_Message,0x090f,2319,FG2C
FG2C_ans_joinroom_Message,0x0202,514,FG2C
FG2C_ans_kick_out_party_Message,0x0909,2313,FG2C
FG2C_ans_local_chat_Message,0x0802,2050,FG2C
FG2C_ans_location_marker_info_Message,0x0323,803,FG2C
FG2C_ans_login_Message,,,FG2C
FG2C_ans_logout_Message,,,FG2C
FG2C_ans_mapcontent_teleport_info_Message,0x0c0e,3086,FG2C
FG2C_ans_mine_war_boss_info_Message,0x0d06,3334,FG2C
FG2C_ans_mine_war_my_score_Message,0x0d04,3332,FG2C
FG2C_ans_mine_war_rank_list_Message,0x0d0a,3338,FG2C
FG2C_ans_mine_war_realm_drill_hp_Message,0x0d0d,3341,FG2C
FG2C_ans_move_boarding_unit_Message,0x0e06,3590,FG2C
FG2C_ans_move_boarding_unit_failed_Message,0x0e07,3591,FG2C
FG2C_ans_move_player_Message,,,FG2C
FG2C_ans_move_player_failed_Message,0x0303,771,FG2C
FG2C_ans_parent_ui_info_Message,0x0327,807,FG2C
FG2C_ans_party_chat_Message,0x0806,2054,FG2C
FG2C_ans_ping_Message,,,FG2C
FG2C_ans_play_motion_Message,0x080a,2058,FG2C
FG2C_ans_player_contribution_info_babylon_occupation_Message,0x1906,6406,FG2C
FG2C_ans_player_profile_info_Message,0x0403,1027,FG2C
FG2C_ans_request_teleport_Message,0x0409,1033,FG2C
FG2C_ans_respond_party_invitation_Message,0x0914,2324,FG2C
FG2C_ans_respond_to_join_party_Message,0x090d,2317,FG2C
FG2C_ans_search_recommend_player_Message,0x091a,2330,FG2C
FG2C_ans_search_user_Message,0x091c,2332,FG2C
FG2C_ans_server_status_Message,0x1302,4866,FG2C
FG2C_ans_server_tick_info_Message,,,FG2C
FG2C_ans_set_location_marker_Message,0x0321,801,FG2C
FG2C_ans_set_ping_mode_Message,,,FG2C
FG2C_ans_spawner_debug_info_Message,0x0f02,3842,FG2C
FG2C_ans_steel_battle_field_guild_member_contribution_info_Message,0x1a13,6675,FG2C
FG2C_ans_steel_battle_field_realm_contribution_info_Message,0x1a15,6677,FG2C
FG2C_ans_summon_ultimate_gear_in_direct_Message,0x0b07,2823,FG2C
FG2C_ans_team_chat_Message,0x0804,2052,FG2C
FG2C_ans_teleport_occupy_region_Message,0x1709,5897,FG2C
FG2C_ans_trace_pos_Message,0x0312,786,FG2C
FG2C_ans_ua_invite_member_Message,0x1604,5636,FG2C
FG2C_ans_ua_pick_target_partygroup_Message,0x1606,5638,FG2C
FG2C_ans_ua_visit_recommand_list_Message,0x1602,5634,FG2C
FG2C_ans_ultimate_gear_info_Message,0x0b03,2819,FG2C
FG2C_ans_unit_aggro_debug_info_Message,0x0f04,3844,FG2C
FG2C_ans_unit_stat_Message,0x0422,1058,FG2C
FG2C_ans_unityalliance_chat_Message,0x0808,2056,FG2C
FG2C_ans_unityalliance_member_location_info_Message,0x041f,1055,FG2C
FG2C_ans_update_party_option_Message,0x0917,2327,FG2C
FG2C_ans_use_fortress_skill_Message,0x180a,6154,FG2C
FG2C_ans_use_instant_skill_Message,0x0624,1572,FG2C
FG2C_ans_use_mine_war_turret_skill_Message,0x0621,1569,FG2C
FG2C_ans_use_normal_postskill_Message,0x060e,1550,FG2C
FG2C_ans_use_normal_skill_Message,0x060d,1549,FG2C
FG2C_ans_use_postskill_Message,0x0608,1544,FG2C
FG2C_ans_use_skill_Message,0x0602,1538,FG2C
FG2C_ans_withdraw_party_Message,0x0907,2311,FG2C
FG2C_ans_worldboss_top_players_info_Message,0x0c0a,3082,FG2C
FG2C_appear_interaction_object_list_Message,0x0308,776,FG2C
FG2C_appear_monster_list_Message,0x0307,775,FG2C
FG2C_appear_player_list_Message,0x0305,773,FG2C
FG2C_appear_portal_list_Message,0x0309,777,FG2C
FG2C_appear_ultimate_gear_list_Message,,,FG2C
FG2C_ask_babylon_occupation_buff_info_Message,0x1912,6418,FG2C
FG2C_battle_for_paradies_center_door_is_open_Message,0x1107,4359,FG2C
FG2C_battle_for_paradise_early_termination_state_noti_Message,0x1109,4361,FG2C
FG2C_battle_for_paradise_first_half_of_max_socore_Message,0x1106,4358,FG2C
FG2C_battle_for_paradise_max_socore_Message,0x1108,4360,FG2C
FG2C_battle_for_pardise_result_Message,0x110c,4364,FG2C
FG2C_bundle_message_Message,,,FG2C
FG2C_change_bufftime_Message,0x060f,1551,FG2C
FG2C_change_skill_cooltime_Message,0x0610,1552,FG2C
FG2C_changed_combat_state_Message,0x030c,780,FG2C
FG2C_charging_info_Message,0x0616,1558,FG2C
FG2C_create_shield_Message,0x061e,1566,FG2C
FG2C_cutscene_info_Message,0x0a01,2561,FG2C
FG2C_damage_log_Message,0x061c,1564,FG2C
FG2C_del_extra_skill_Message,0x0612,1554,FG2C
FG2C_destroy_shield_Message,0x061f,1567,FG2C
FG2C_direct_ug_setting_noti_Message,0x0b0b,2827,FG2C
FG2C_direct_ug_update_Message,0x0b0a,2826,FG2C
FG2C_disappear_unit_list_Message,0x030a,778,FG2C
FG2C_dispel_skillbuff_Message,0x0606,1542,FG2C
FG2C_display_recovery_floater_Message,0x032b,811,FG2C
FG2C_display_skillbuff_Message,0x0605,1541,FG2C
FG2C_display_string_key_Message,0x080c,2060,FG2C
FG2C_do_damage_Message,0x061a,1562,FG2C
FG2C_dying_unit_Message,0x0316,790,FG2C
FG2C_effect_skillbuff_Message,0x0607,1543,FG2C
FG2C_exit_end_in_content_play_Message,0x0207,519,FG2C
FG2C_finish_game_Message,0x0206,518,FG2C
FG2C_flying_info_Message,0x0318,792,FG2C
FG2C_guild_raid_round_state_Message,0x0c0b,3083,FG2C
FG2C_guild_suppression_info_Message,0x0c0c,3084,FG2C
FG2C_interaction_object_info_Message,0x040f,1039,FG2C
FG2C_join_battle_for_paradise_room_info_Message,0x1104,4356,FG2C
FG2C_lobby_stat_Message,0x0423,1059,FG2C
FG2C_map_phase_countdown_Message,0x0c03,3075,FG2C
FG2C_map_phase_info_Message,0x0c01,3073,FG2C
FG2C_map_trigger_history_info_Message,0x0c04,3076,FG2C
FG2C_map_trigger_info_Message,0x0c02,3074,FG2C
FG2C_mau_comeback_count_down_notice_Message,0x0b01,2817,FG2C
FG2C_mine_war_info_summary_Message,0x0d02,3330,FG2C
FG2C_mine_war_object_attacked_Message,0x0d0b,3339,FG2C
FG2C_mine_war_realm_drill_info_Message,0x0d08,3336,FG2C
FG2C_mine_war_turret_info_Message,0x0d07,3335,FG2C
FG2C_minewar_skirmish_guild_manager_info_Message,0x1006,4102,FG2C
FG2C_minewar_skirmish_object_event_noti_Message,0x1005,4101,FG2C
FG2C_move_to_Message,0x030e,782,FG2C
FG2C_noflying_flag_room_Message,0x0208,520,FG2C
FG2C_noti_babylon_occupation_buff_Message,0x1903,6403,FG2C
FG2C_noti_babylon_occupation_gate_state_Message,0x1909,6409,FG2C
FG2C_noti_babylon_occupation_occupy_area_info_Message,0x1904,6404,FG2C
FG2C_noti_babylon_occupation_result_Message,0x190d,6413,FG2C
FG2C_noti_babylon_occupation_score_Message,0x1902,6402,FG2C
FG2C_noti_babylon_occupation_state_Message,0x1901,6401,FG2C
FG2C_noti_babylon_occupation_win_reward_sector_Message,0x1911,6417,FG2C
FG2C_noti_babylon_occuptaion_gate_destroy_Message,0x190a,6410,FG2C
FG2C_noti_babylon_pve_boss_dead_Message,0x1914,6420,FG2C
FG2C_noti_babylon_pve_boss_spawn_Message,0x190b,6411,FG2C
FG2C_noti_babylon_pvp_boss_kill_Message,0x190f,6415,FG2C
FG2C_noti_babylon_pvp_boss_spawn_Message,0x190e,6414,FG2C
FG2C_noti_babylon_pvp_monster_kill_Message,0x1910,6416,FG2C
FG2C_noti_barricade_destroy_Message,0x0d13,3347,FG2C
FG2C_noti_battle_for_paradise_my_score_Message,0x110f,4367,FG2C
FG2C_noti_change_movement_Message,0x041b,1051,FG2C
FG2C_noti_cheat_result_Message,0x0503,1283,FG2C
FG2C_noti_coreworld_killer_user_info_Message,0x1405,5125,FG2C
FG2C_noti_coreworld_monster_position_info_Message,0x1406,5126,FG2C
FG2C_noti_coreworld_point_Message,0x1402,5122,FG2C
FG2C_noti_coreworld_result_Message,0x1407,5127,FG2C
FG2C_noti_cragmine_result_Message,0x0d01,3329,FG2C
FG2C_noti_fortress_attacked_npc_info_Message,0x1804,6148,FG2C
FG2C_noti_fortress_destroyed_npc_info_Message,0x1803,6147,FG2C
FG2C_noti_fortress_info_Message,0x1801,6145,FG2C
FG2C_noti_fortress_interaction_obj_state_Message,0x1802,6146,FG2C
FG2C_noti_fortress_result_Message,0x180b,6155,FG2C
